timeWeight,distanceWeight,directionWeight,n runs,n events,n correlated runs,n wrong correlations
0,0.25,0.75,100,5169,62,3667
0,0.25,1,1,55,1,0
0,0.25,1,5,199,4,54
0,0.25,1,10,208,11,44
0,0.25,1,20,1397,16,500
0,0.25,1,50,2283,39,988
0,0.25,1,100,4349,58,2907
0,0.25,1,1,105,1,0
0,0.25,1,5,234,5,45
0,0.25,1,10,429,10,53
0,0.25,1,20,1149,17,488
0,0.25,1,50,2112,42,991
0,0.25,1,100,4678,60,3231
0,0.25,1,1,33,1,0
0,0.25,1,5,183,5,0
0,0.25,1,10,578,11,6
0,0.25,1,20,958,18,282
0,0.25,1,50,2145,41,824
0,0.25,1,100,5216,69,3718
0,0.25,1,1,32,1,0
0,0.25,1,5,268,5,103
0,0.25,1,10,492,12,59
0,0.25,1,20,973,21,159
0,0.25,1,50,2059,41,740
0,0.25,1,100,4799,58,3341
0,0.25,1,1,60,1,0
0,0.25,1,5,308,5,0
0,0.25,1,10,525,11,86
0,0.25,1,20,1012,18,249
0,0.25,1,50,2500,38,1381
0,0.25,1,100,5730,70,3967
0,0.5,0,1,48,1,0
0,0.5,0,5,280,5,0
0,0.5,0,10,608,8,230
0,0.5,0,20,1290,18,224
0,0.5,0,50,2680,36,1426
0,0.5,0,100,4895,54,3431
0,0.5,0,1,68,1,0
0,0.5,0,5,169,5,0
0,0.5,0,10,612,9,119
0,0.5,0,20,981,18,156
0,0.5,0,50,2610,34,1628
0,0.5,0,100,4972,57,3337
0,0.5,0,1,16,1,0
0,0.5,0,5,266,6,0
0,0.5,0,10,303,11,10
0,0.5,0,20,744,19,136
0,0.5,0,50,2228,34,1153
0,0.5,0,100,4625,58,3334
0,0.5,0,1,74,1,0
0,0.5,0,5,213,4,64
0,0.5,0,10,610,9,96
0,0.5,0,20,1026,17,430
0,0.5,0,50,2260,33,1083
0,0.5,0,100,4937,60,3277
0,0.5,0,1,18,1,0
0,0.5,0,5,404,6,0
0,0.5,0,10,433,9,71
0,0.5,0,20,1335,19,127
0,0.5,0,50,2359,40,950
0,0.5,0,100,5201,60,3325
0,0.5,0.25,1,29,1,0
0,0.5,0.25,5,268,5,0
0,0.5,0.25,10,591,8,329
0,0.5,0.25,20,1009,17,159
0,0.5,0.25,50,2947,40,1467
0,0.5,0.25,100,4876,65,3165
0,0.5,0.25,1,58,1,0
0,0.5,0.25,5,210,4,41
0,0.5,0.25,10,406,10,0
0,0.5,0.25,20,858,15,354
0,0.5,0.25,50,2414,38,1008
0,0.5,0.25,100,4299,61,2710
0,0.5,0.25,1,75,2,0
0,0.5,0.25,5,215,6,0
0,0.5,0.25,10,441,10,3
0,0.5,0.25,20,997,17,242
0,0.5,0.25,50,2217,41,1097
0,0.5,0.25,100,5193,59,3225
0,0.5,0.25,1,36,1,0
0,0.5,0.25,5,126,4,36
0,0.5,0.25,10,720,10,30
0,0.5,0.25,20,866,16,344
0,0.5,0.25,50,2187,37,840
0,0.5,0.25,100,4652,55,3206
0,0.5,0.25,1,50,1,0
0,0.5,0.25,5,132,5,0
0,0.5,0.25,10,312,9,71
0,0.5,0.25,20,826,22,189
0,0.5,0.25,50,2741,38,1377
0,0.5,0.25,100,5114,75,3212
0,0.5,0.5,1,44,1,0
0,0.5,0.5,5,299,6,4
0,0.5,0.5,10,728,11,15
0,0.5,0.5,20,1010,16,321
0,0.5,0.5,50,2814,38,1449
0,0.5,0.5,100,4469,54,3094
0,0.5,0.5,1,15,1,0
0,0.5,0.5,5,167,5,1
0,0.5,0.5,10,728,11,24
0,0.5,0.5,20,1316,20,220
0,0.5,0.5,50,2587,36,1406
0,0.5,0.5,100,4266,55,2769
0,0.5,0.5,1,52,1,0
0,0.5,0.5,5,361,7,40
0,0.5,0.5,10,428,9,94
0,0.5,0.5,20,1043,17,258
0,0.5,0.5,50,1944,41,616
0,0.5,0.5,100,4440,57,2685
0,0.5,0.5,1,32,1,0
0,0.5,0.5,5,136,5,0
0,0.5,0.5,10,315,8,98
0,0.5,0.5,20,792,17,153
0,0.5,0.5,50,2252,35,1170
0,0.5,0.5,100,4365,59,2823
0,0.5,0.5,1,161,1,0
0,0.5,0.5,5,355,5,1
0,0.5,0.5,10,329,11,12
0,0.5,0.5,20,955,19,85
0,0.5,0.5,50,2263,34,1124
0,0.5,0.5,100,4875,64,3279
0,0.5,0.75,1,13,1,0
0,0.5,0.75,5,214,5,0
0,0.5,0.75,10,463,11,50
0,0.5,0.75,20,878,17,232
0,0.5,0.75,50,2650,38,1576
0,0.5,0.75,100,4851,68,3258
0,0.5,0.75,1,60,1,0
0,0.5,0.75,5,123,5,0
0,0.5,0.75,10,641,12,18
0,0.5,0.75,20,1030,20,250
0,0.5,0.75,50,2151,38,1117
0,0.5,0.75,100,4702,62,3248
0,0.5,0.75,1,17,1,0
0,0.5,0.75,5,225,5,106
0,0.5,0.75,10,496,9,86
0,0.5,0.75,20,828,19,196
0,0.5,0.75,50,2293,35,1273
0,0.5,0.75,100,4580,63,2896
0,0.5,0.75,1,36,1,0
0,0.5,0.75,5,239,4,90
0,0.5,0.75,10,883,9,72
0,0.5,0.75,20,764,21,204
0,0.5,0.75,50,2410,40,994
0,0.5,0.75,100,4750,57,3155
0,0.5,0.75,1,76,1,0
0,0.5,0.75,5,174,5,0
0,0.5,0.75,10,247,11,37
0,0.5,0.75,20,1125,20,239
0,0.5,0.75,50,2408,33,1430
0,0.5,0.75,100,4741,59,2992
0,0.5,1,1,30,1,0
0,0.5,1,5,192,5,23
0,0.5,1,10,591,12,21
0,0.5,1,20,1013,17,343
0,0.5,1,50,2199,32,1076
0,0.5,1,100,5209,60,3481
0,0.5,1,1,49,1,0
0,0.5,1,5,262,5,0
0,0.5,1,10,588,9,184
0,0.5,1,20,1114,27,205
0,0.5,1,50,2123,41,1225
0,0.5,1,100,4738,71,3131
0,0.5,1,1,11,1,0
0,0.5,1,5,170,4,33
0,0.5,1,10,551,10,53
0,0.5,1,20,673,19,103
0,0.5,1,50,2427,39,1286
0,0.5,1,100,4161,71,2312
0,0.5,1,1,24,1,0
0,0.5,1,5,148,5,0
0,0.5,1,10,444,9,39
